iter	Passed	Remaining
0	148	29556
1	154	15273
2	165	10850
3	173	8522
4	182	7125
5	184	5980
6	186	5154
7	189	4559
8	192	4093
9	195	3712
10	197	3395
11	200	3145
12	205	2956
13	208	2763
14	210	2596
15	212	2448
16	215	2315
17	217	2197
18	219	2094
19	222	2001
20	224	1913
21	226	1833
22	228	1760
23	230	1693
24	233	1631
25	235	1576
26	237	1523
27	239	1472
28	241	1425
29	243	1381
30	245	1340
31	247	1301
32	250	1267
33	252	1234
34	255	1202
35	257	1171
36	259	1144
37	262	1117
38	265	1094
39	267	1070
40	269	1046
41	272	1024
42	274	1002
43	276	981
44	279	962
45	282	944
46	284	925
47	286	906
48	288	889
49	290	872
50	293	856
51	295	840
52	297	825
53	299	810
54	302	796
55	304	782
56	306	768
57	308	755
58	311	744
59	313	732
60	316	720
61	318	709
62	320	697
63	322	685
64	324	674
65	327	665
66	330	655
67	332	646
68	335	636
69	337	626
70	339	616
71	342	608
72	345	600
73	347	592
74	350	583
75	352	575
76	355	567
77	357	559
78	360	552
79	364	546
80	366	538
81	370	532
82	376	530
83	378	522
84	381	515
85	383	508
86	385	501
87	388	494
88	391	488
89	394	481
90	396	474
91	398	468
92	401	461
93	404	456
94	407	450
95	409	443
96	411	437
97	414	431
98	416	425
99	419	419
100	421	413
101	424	407
102	426	401
103	429	396
104	431	390
105	434	385
106	437	380
107	440	374
108	442	369
109	444	364
110	447	358
111	450	353
112	452	348
113	455	343
114	458	338
115	460	333
116	463	328
117	465	323
118	468	318
119	470	313
120	473	309
121	475	304
122	478	299
123	481	295
124	484	290
125	486	285
126	489	281
127	491	276
128	494	272
129	497	267
130	499	263
131	502	258
132	504	254
133	507	249
134	509	245
135	512	241
136	515	236
137	518	232
138	521	228
139	523	224
140	527	220
141	529	216
142	532	212
143	534	207
144	537	203
145	539	199
146	542	195
147	545	191
148	548	187
149	550	183
150	555	180
151	559	176
152	561	172
153	564	168
154	566	164
155	569	160
156	572	156
157	575	152
158	578	149
159	580	145
160	583	141
161	585	137
162	589	133
163	591	129
164	594	126
165	596	122
166	599	118
167	603	115
168	606	111
169	609	107
170	611	103
171	613	99
172	617	96
173	620	92
174	622	88
175	625	85
176	627	81
177	629	77
178	632	74
179	634	70
180	637	66
181	639	63
182	642	59
183	644	56
184	647	52
185	649	48
186	652	45
187	654	41
188	657	38
189	659	34
190	662	31
191	664	27
192	667	24
193	669	20
194	672	17
195	674	13
196	676	10
197	679	6
198	682	3
199	684	0
